name,id,date,prcp,tmax,tmin
CentralPark_NY,USW00094728,2021-01-01,157,4.4,0.6
CentralPark_NY,USW00094728,2021-01-02,13,10.6,2.2
CentralPark_NY,USW00094728,2021-01-03,56,3.3,1.1
CentralPark_NY,USW00094728,2021-01-04,5,6.1,1.7
CentralPark_NY,USW00094728,2021-01-05,0,5.6,2.2
CentralPark_NY,USW00094728,2021-01-06,0,5,1.1
CentralPark_NY,USW00094728,2021-01-07,0,5,-1
CentralPark_NY,USW00094728,2021-01-08,0,2.8,-2.7
CentralPark_NY,USW00094728,2021-01-09,0,2.8,-4.3
CentralPark_NY,USW00094728,2021-01-10,0,5,-1.6
CentralPark_NY,USW00094728,2021-01-11,0,2.8,-2.1
CentralPark_NY,USW00094728,2021-01-12,0,6.7,0.6
CentralPark_NY,USW00094728,2021-01-13,0,6.1,1.7
CentralPark_NY,USW00094728,2021-01-14,0,9.4,3.9
CentralPark_NY,USW00094728,2021-01-15,97,7.8,3.3
CentralPark_NY,USW00094728,2021-01-16,198,8.3,2.8
CentralPark_NY,USW00094728,2021-01-17,0,6.7,1.7
CentralPark_NY,USW00094728,2021-01-18,0,7.2,2.8
CentralPark_NY,USW00094728,2021-01-19,0,6.1,1.7
CentralPark_NY,USW00094728,2021-01-20,5,4.4,-2.7
CentralPark_NY,USW00094728,2021-01-21,0,6.1,-3.8
CentralPark_NY,USW00094728,2021-01-22,0,7.2,2.2
CentralPark_NY,USW00094728,2021-01-23,0,2.2,-4.3
CentralPark_NY,USW00094728,2021-01-24,0,0,-5.5
CentralPark_NY,USW00094728,2021-01-25,0,2.8,-4.9
CentralPark_NY,USW00094728,2021-01-26,25,1.1,-0.5
CentralPark_NY,USW00094728,2021-01-27,0,2.8,-0.5
CentralPark_NY,USW00094728,2021-01-28,0,1.1,-6.6
CentralPark_NY,USW00094728,2021-01-29,0,-3.8,-9.9
CentralPark_NY,USW00094728,2021-01-30,0,0,-8.2
CentralPark_NY,USW00094728,2021-01-31,30,-3.2,-6.6
CentralPark_NY,USW00094728,2021-02-01,470,1.1,-5.5
CentralPark_NY,USW00094728,2021-02-02,33,0.6,-1
CentralPark_NY,USW00094728,2021-02-03,3,2.8,-1.6
CentralPark_NY,USW00094728,2021-02-04,0,6.1,-0.5
CentralPark_NY,USW00094728,2021-02-05,18,8.3,2.8
CentralPark_NY,USW00094728,2021-02-06,0,6.7,1.1
CentralPark_NY,USW00094728,2021-02-07,99,4.4,-4.3
CentralPark_NY,USW00094728,2021-02-08,0,-1.6,-8.2
CentralPark_NY,USW00094728,2021-02-09,0,0.6,-2.7
CentralPark_NY,USW00094728,2021-02-10,3,1.7,-3.2
CentralPark_NY,USW00094728,2021-02-11,25,0.6,-3.2
CentralPark_NY,USW00094728,2021-02-12,0,-1,-6.6
CentralPark_NY,USW00094728,2021-02-13,0,-1,-3.8
CentralPark_NY,USW00094728,2021-02-14,0,3.3,-2.7
CentralPark_NY,USW00094728,2021-02-15,5,2.2,-0.5
CentralPark_NY,USW00094728,2021-02-16,208,10.6,1.1
CentralPark_NY,USW00094728,2021-02-17,0,1.1,-5.5
CentralPark_NY,USW00094728,2021-02-18,114,-1,-4.3
CentralPark_NY,USW00094728,2021-02-19,36,0.6,-2.1
CentralPark_NY,USW00094728,2021-02-20,0,1.7,-3.2
CentralPark_NY,USW00094728,2021-02-21,0,2.8,-4.3
CentralPark_NY,USW00094728,2021-02-22,132,3.9,0
CentralPark_NY,USW00094728,2021-02-23,3,7.2,2.2
CentralPark_NY,USW00094728,2021-02-24,0,12.2,3.9
CentralPark_NY,USW00094728,2021-02-25,0,10,4.4
CentralPark_NY,USW00094728,2021-02-26,0,7.2,0.6
CentralPark_NY,USW00094728,2021-02-27,99,10,3.3
CentralPark_NY,USW00094728,2021-02-28,56,7.2,5
CentralPark_NY,USW00094728,2021-03-01,41,9.4,-0.5
CentralPark_NY,USW00094728,2021-03-02,0,0.6,-6
CentralPark_NY,USW00094728,2021-03-03,0,11.1,0
CentralPark_NY,USW00094728,2021-03-04,0,7.2,-2.7
CentralPark_NY,USW00094728,2021-03-05,0,2.8,-4.9
CentralPark_NY,USW00094728,2021-03-06,0,1.1,-1.6
CentralPark_NY,USW00094728,2021-03-07,0,5,-1.6
CentralPark_NY,USW00094728,2021-03-08,0,6.1,-3.2
CentralPark_NY,USW00094728,2021-03-09,0,17.8,5.6
